"Selected Filters: All States | All Programs"
""
"Total Funding: $9,835,080,336"
"Number of Grants: 12,702"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"Erie, County Of","H8GCS47948","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Sandusky","OH","44870-1849","Erie","OH-09","2023","$27,500"
"Erie, County Of","H8DCS36691","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sandusky","OH","44870-1849","Erie","OH-09","2020","$603,560"
"Erie, County Of","H8ECS38563","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Sandusky","OH","44870-1849","Erie","OH-09","2020","$186,079"
"Erie, County Of","H8FCS40969","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Sandusky","OH","44870-1849","Erie","OH-09","2021","$1,417,250"
"ERIE, COUNTY OF","H8GCS47948","FY 2023 Expanding COVID-19 Vaccination (H8G)","Sandusky","OH","44870-1849","Erie","OH09","2023","$102,919"
"ERIE, COUNTY OF","H8FCS40969","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Sandusky","OH","44870-1849","Erie","OH09","2022","$65,500"
"Escambia Community Clinics, Inc.","H8CCS35062","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Pensacola","FL","32505-7552","Escambia","FL-01","2020","$100,581"
"Escambia Community Clinics, Inc.","H8LCS51971","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Pensacola","FL","32505-7552","Escambia","FL-01","2023","$126,770"
"Escambia Community Clinics, Inc.","H8FCS40574","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Pensacola","FL","32505-7552","Escambia","FL-01","2021","$10,017,000"
"Escambia Community Clinics, Inc.","H8GCS48693","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Pensacola","FL","32505-7552","Escambia","FL-01","2023","$27,500"
"Escambia Community Clinics, Inc.","H8GCS48693","FY 2023 Expanding COVID-19 Vaccination (H8G)","Pensacola","FL","32505-7552","Escambia","FL01","2023","$541,030"
"Escambia Community Clinics, Inc.","H8FCS40574","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Pensacola","FL","32505-7552","Escambia","FL01","2022","$65,500"
"Escambia Community Clinics, Inc.","H8DCS36000","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pensacola","FL","32505-7552","Escambia","FL-01","2020","$1,522,295"
"Escambia Community Clinics, Inc.","H8ECS38290","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Pensacola","FL","32505-7552","Escambia","FL-01","2020","$915,709"
"Escambia Community Clinics, Inc.","C8ECS44556","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Pensacola","FL","32505-7552","Escambia","FL-01","2021","$1,099,412"
"Esperanza Health Center","H8LCS51356","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Philadelphia","PA","19140-2319","Philadelphia","PA-02","2023","$37,920"
"Esperanza Health Center","H8GCS48097","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Philadelphia","PA","19140-2319","Philadelphia","PA-02","2023","$27,500"
"Esperanza Health Center, Inc.","C8ECS44110","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Philadelphia","PA","19140-2319","Philadelphia","PA-02","2021","$662,844"
"Esperanza Health Center, Inc.","H8CCS35216","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Philadelphia","PA","19140-2319","Philadelphia","PA-02","2020","$62,359"
"Esperanza Health Center, Inc.","H8FCS40731","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Philadelphia","PA","19140-2319","Philadelphia","PA02","2022","$65,500"
"Esperanza Health Center, Inc.","H8GCS48097","FY 2023 Expanding COVID-19 Vaccination (H8G)","Philadelphia","PA","19140-2319","Philadelphia","PA02","2023","$191,038"
"Esperanza Health Center, Inc.","H8DCS36652","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Philadelphia","PA","19140-2319","Philadelphia","PA-02","2020","$771,950"
"Esperanza Health Center, Inc.","H8ECS38942","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Philadelphia","PA","19140-2319","Philadelphia","PA-02","2020","$320,389"
"Esperanza Health Center, Inc.","H8FCS40731","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Philadelphia","PA","19140-2319","Philadelphia","PA-02","2021","$2,933,750"
"Esperanza Health Centers","H8LCS50740","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Chicago","IL","60608-2503","Cook","IL-04","2023","$137,597"
"Esperanza Health Centers","H8GCS47470","FY 2023 Expanding COVID-19 Vaccination (H8G)","Chicago","IL","60608-2503","Cook","IL04","2023","$499,666"
"Esperanza Health Centers","H8GCS47470","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Chicago","IL","60608-2503","Cook","IL-04","2023","$27,500"
"Esperanza Health Centers","H8DCS36121","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60608-2884","Cook","IL-04","2020","$1,081,430"
"Esperanza Health Centers","H8ECS38413","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Chicago","IL","60608-2884","Cook","IL-04","2020","$504,679"
"Esperanza Health Centers","H8FCS40833","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Chicago","IL","60608-2884","Cook","IL-04","2021","$6,121,750"
"Esperanza Health Centers","H8CCS34456","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Chicago","IL","60608-2884","Cook","IL-04","2020","$80,796"
"Esperanza Health Centers","H8FCS40833","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Chicago","IL","60608-2884","Cook","IL04","2022","$65,500"
"Esperanza Health Centers","C8ECS44866","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Chicago","IL","60608-2884","Cook","IL-04","2021","$797,990"
"Excelth, Incorporated","H8FCS41418","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","New Orleans","LA","70112-4520","Orleans","LA-02","2021","$2,320,750"
"Excelth, Incorporated","C8ECS43645","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","New Orleans","LA","70112-4520","Orleans","LA-02","2021","$592,070"
"Excelth, Incorporated","H8GCS47981","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","New Orleans","LA","70112-4520","Orleans","LA-02","2023","$27,500"
"Excelth, Incorporated","H8DCS35769","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Orleans","LA","70112-4520","Orleans","LA-02","2020","$740,855"
"Excelth, Incorporated","H8ECS38275","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","New Orleans","LA","70112-4520","Orleans","LA-02","2020","$223,879"
"Excelth, Incorporated","H8CCS35115","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","New Orleans","LA","70112-4520","Orleans","LA-02","2020","$63,729"
"Excelth, Incorporated","H8LCS50760","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","New Orleans","LA","70112-4520","Orleans","LA-02","2023","$25,260"
"EXCELTH, INCORPORATED","H8GCS47981","FY 2023 Expanding COVID-19 Vaccination (H8G)","NEW ORLEANS","LA","70112-3723","Orleans","LA02","2023","$116,995"
"EXCELTH, INCORPORATED","H8FCS41418","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","New Orleans","LA","70112-4520","Orleans","LA02","2022","$65,500"
"Ezra Medical Center","H8FCS40675","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Brooklyn","NY","11218-3612","Kings","NY-10","2021","$4,056,625"
"Ezra Medical Center","C8ECS44093","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Brooklyn","NY","11218-3612","Kings","NY-10","2021","$800,333"
"Ezra Medical Center","H8CCS35172","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Brooklyn","NY","11218-3612","Kings","NY-10","2020","$66,216"
"Ezra Medical Center","H8DCS36579","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brooklyn","NY","11218-3612","Kings","NY-10","2020","$949,580"
"Ezra Medical Center","H8ECS38312","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Brooklyn","NY","11218-3612","Kings","NY-10","2020","$507,874"
"EZRA MEDICAL CENTER","H8GCS47541","FY 2023 Expanding COVID-19 Vaccination (H8G)","BROOKLYN","NY","11218-3612","Kings","NY10","2023","$378,175"
"EZRA MEDICAL CENTER","H8FCS40675","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Brooklyn","NY","11218-3612","Kings","NY10","2022","$65,500"
"Ezras Choilim Health Center, Inc.","H8LCS51766","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Monroe","NY","10950-2923","Orange","NY-18","2023","$15,068"
"Ezras Choilim Health Center, Inc.","C8ECS43779","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Monroe","NY","10950-2923","Orange","NY-18","2021","$788,475"
"Ezras Choilim Health Center, Inc.","H8CCS35166","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Monroe","NY","10950-2923","Orange","NY-18","2020","$64,308"
"Ezras Choilim Health Center, Inc.","H8DCS36548","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Monroe","NY","10950-2923","Orange","NY-18","2020","$890,615"
"Ezras Choilim Health Center, Inc.","H8ECS37970","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Monroe","NY","10950-2923","Orange","NY-18","2020","$491,704"
"Ezras Choilim Health Center, Inc.","H8FCS41271","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Monroe","NY","10950-2923","Orange","NY-18","2021","$3,985,125"
"EZRAS CHOILIM HEALTH CENTER, INC.","H8GCS48496","FY 2023 Expanding COVID-19 Vaccination (H8G)","MONROE","NY","10950-2923","Orange","NY18","2023","$313,492"
"EZRAS CHOILIM HEALTH CENTER, INC.","H8FCS41271","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Monroe","NY","10950-2923","Orange","NY18","2022","$65,500"
"Fair Haven Community Health Clinic Inc","H8FCS41460","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","New Haven","CT","06513-3733","New Haven","CT-03","2021","$3,691,625"
"Fair Haven Community Health Clinic Inc","H8GCS48107","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","New Haven","CT","06513-3733","New Haven","CT-03","2023","$27,500"
"Fair Haven Community Health Clinic Inc","H8GCS48107","FY 2023 Expanding COVID-19 Vaccination (H8G)","new haven","CT","06513-3733","New Haven","CT03","2023","$330,133"
"Fair Haven Community Health Clinic Inc","H8DCS35971","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Haven","CT","06513-3733","New Haven","CT-03","2020","$879,590"
"Fair Haven Community Health Clinic Inc","H8FCS41460","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","New Haven","CT","06513-3733","New Haven","CT03","2022","$65,500"
"Fair Haven Community Health Clinic Inc","H8ECS38515","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","New Haven","CT","06513-3733","New Haven","CT-03","2020","$360,094"
"Fair Haven Community Health Clinic Inc","H8CCS34655","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","New Haven","CT","06513-3733","New Haven","CT-03","2020","$68,836"
"Fair Haven Community Health Clinic Inc","C8ECS44742","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","New Haven","CT","06513-3733","New Haven","CT-03","2021","$691,961"
"Fair Haven Community Health Clinic, Inc.","H8LCS50801","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","New Haven","CT","06513-3733","New Haven","CT-03","2023","$61,534"
"Fairfax Medical Facilities Inc","H8LCS50817","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Fairfax","OK","74637-3023","Osage","OK-03","2023","$13,961"
"Fairfax Medical Facilities, Inc.","C8ECS44104","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Fairfax","OK","74637-3023","Osage","OK-03","2021","$571,676"
"Fairfax Medical Facilities, Inc.","H8CCS34140","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Fairfax","OK","74637-3023","Osage","OK-03","2020","$56,896"
"Fairfax Medical Facilities, Inc.","H8GCS47621","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Fairfax","OK","74637-3023","Osage","OK-03","2023","$27,500"
"Fairfax Medical Facilities, Inc.","H8DCS35587","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fairfax","OK","74637-3023","Osage","OK-03","2020","$646,445"
"Fairfax Medical Facilities, Inc.","H8ECS37988","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Fairfax","OK","74637-3023","Osage","OK-03","2020","$196,069"
"Fairfax Medical Facilities, Inc.","H8FCS40780","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Fairfax","OK","74637-3023","Osage","OK-03","2021","$1,544,500"
"FAIRFAX MEDICAL FACILITIES, INC.","H8GCS47621","FY 2023 Expanding COVID-19 Vaccination (H8G)","Fairfax","OK","74637-3023","Osage","OK03","2023","$101,830"
"FAIRFAX MEDICAL FACILITIES, INC.","H8FCS40780","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Fairfax","OK","74637-3023","Osage","OK03","2022","$65,500"
"Fairfield Community Health Center","H8GCS48816","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Lancaster","OH","43130-4056","Fairfield","OH-12","2023","$27,500"
"Fairfield Community Health Center","C8ECS44598","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Lancaster","OH","43130-4056","Fairfield","OH-15","2021","$583,138"
"Fairfield Community Health Center","H8CCS34871","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Lancaster","OH","43130-4056","Fairfield","OH-15","2020","$55,886"
"Fairfield Community Health Center","H8DCS36680","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lancaster","OH","43130-4056","Fairfield","OH-15","2020","$628,670"
"Fairfield Community Health Center","H8ECS38912","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Lancaster","OH","43130-4056","Fairfield","OH-15","2020","$211,699"
"Fairfield Community Health Center","H8LCS51067","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Lancaster","OH","43130-4056","Fairfield","OH-12","2023","$22,355"
"Fairfield Community Health Center","H8FCS41490","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Lancaster","OH","43130-4056","Fairfield","OH-15","2021","$1,696,500"
"FAIRFIELD COMMUNITY HEALTH CENTER","H8GCS48816","FY 2023 Expanding COVID-19 Vaccination (H8G)","LANCASTER","OH","43130-4056","Fairfield","OH15","2023","$112,261"
"FAIRFIELD COMMUNITY HEALTH CENTER","H8FCS41490","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Lancaster","OH","43130-4056","Fairfield","OH15","2022","$65,500"
"Faith Healthcare Inc","H8LCS50577","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Louisville","KY","40207-5147","Jefferson","KY-03","2023","$14,203"
"Faith Healthcare Inc","H8GCS48890","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Louisville","KY","40207-5147","Jefferson","KY-03","2023","$27,500"
"Faith Healthcare, Inc","H8GCS48890","FY 2023 Expanding COVID-19 Vaccination (H8G)","Monticello","KY","42633-2245","Wayne","KY05","2023","$133,798"
"Faith Healthcare, Inc","L2CCS42381","FY 2021 American Rescue Plan - Funding for Look-Alikes (L2C)","Monticello","KY","42633-2245","Wayne","KY-05","2021","$500,000"
"Families Together Of Orange County","H8GCS48881","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Tustin","CA","92780-2939","Orange","CA-40","2023","$27,500"
"Families Together Of Orange County","H8GCS48881","FY 2023 Expanding COVID-19 Vaccination (H8G)","Tustin","CA","92780-2939","Orange","CA45","2023","$224,977"
"Families Together Of Orange County","L1CCS39383","FY 2020 Health Center Program Look-Alikes:  Expanding Capacity for Coronavirus Testing (L1C)","Tustin","CA","92780-2939","Orange","CA-45","2020","$209,657"
"Families Together Of Orange County","H8LCS50631","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Tustin","CA","92780-2939","Orange","CA-40","2023","$45,564"
"Families Together Of Orange County","L2CCS42387","FY 2021 American Rescue Plan - Funding for Look-Alikes (L2C)","Tustin","CA","92780-2939","Orange","CA-45","2021","$1,575,625"
"FAMILIES TOGETHER OF ORANGE COUNTY","L2CCS42387","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (L2C)","Tustin","CA","92780-2939","Orange","CA45","2022","$65,500"
"Family and Medical Counseling Service Inc","H8GCS48273","FY 2023 Expanding COVID-19 Vaccination (H8G)","Washington","DC","20020-7036","District of Columbia","DC98","2023","$77,908"
"Family and Medical Counseling Service Inc","H8FCS41735","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Washington","DC","20020-7036","District of Columbia","DC98","2022","$65,500"
"Family And Medical Counseling Service Inc","H8LCS51564","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Washington","DC","20020-7036","District of Columbia","DC-98","2023","$21,167"
"Family And Medical Counseling Service Inc","H8FCS41735","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Washington","DC","20020-7036","District of Columbia","DC-98","2021","$1,224,125"
"Family And Medical Counseling Service Inc","H8DCS35961","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Washington","DC","20020-7036","District of Columbia","DC-98","2020","$583,580"
"Family And Medical Counseling Service Inc","H8GCS48273","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Washington","DC","20020-7036","District of Columbia","DC-98","2023","$27,500"
"Family And Medical Counseling Service Inc","H8ECS38692","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Washington","DC","20020-7036","District of Columbia","DC-98","2020","$157,804"
"Family And Medical Counseling Service Inc","H8CCS34661","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Washington","DC","20020-7036","District of Columbia","DC-98","2020","$54,398"
"Family And Medical Counseling Service Inc","C8ECS44745","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Washington","DC","20020-7036","District of Columbia","DC-98","2021","$543,615"
"Family Care Health Centers","H8CCS34713","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Saint Louis","MO","63111-2410","St. Louis City","MO-01","2020","$74,566"
"Family Care Health Centers","H8GCS48815","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Saint Louis","MO","63111-2410","St. Louis City","MO-01","2023","$27,500"
"Family Care Health Centers","H8DCS35930","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint Louis","MO","63111-2410","St. Louis City","MO-01","2020","$981,245"
"Family Care Health Centers","H8GCS48815","FY 2023 Expanding COVID-19 Vaccination (H8G)","Saint Louis","MO","63111-2410","St. Louis City","MO01","2023","$206,176"
"Family Care Health Centers","H8ECS38022","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Saint Louis","MO","63111-2410","St. Louis City","MO-01","2020","$410,554"
"Family Care Health Centers","H8LCS50787","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Saint Louis","MO","63111-2410","St. Louis City","MO-01","2023","$42,936"
"Family Care Health Centers","H8FCS41153","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Saint Louis","MO","63111-2410","St. Louis City","MO01","2022","$65,500"
"Family Care Health Centers","H8FCS41153","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Saint Louis","MO","63111-2410","St. Louis City","MO-01","2021","$4,574,875"
"Family Centers Inc","H8LCS50780","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Greenwich","CT","06830-6323","Fairfield","CT-04","2023","$18,042"
"Family Centers Inc","H8GCS48309","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Greenwich","CT","06830-6323","Fairfield","CT-04","2023","$27,500"
"Family Centers Inc.","H8CCS34660","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Greenwich","CT","06830-6525","Fairfield","CT-04","2020","$52,174"
"Family Centers Inc.","H8DCS35962","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Greenwich","CT","06830-6525","Fairfield","CT-04","2020","$533,690"
"Family Centers Inc.","H8ECS37851","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Greenwich","CT","06830-6525","Fairfield","CT-04","2020","$117,649"
"Family Centers Inc.","H8FCS40704","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Greenwich","CT","06830-6525","Fairfield","CT-04","2021","$775,000"
"Family Centers Inc.","C8ECS44457","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Greenwich","CT","06830-6525","Fairfield","CT-04","2021","$514,168"
"FAMILY CENTERS INC.","H8GCS48309","FY 2023 Expanding COVID-19 Vaccination (H8G)","GREENWICH","CT","06830-6323","Fairfield","CT04","2023","$61,870"
"FAMILY CENTERS INC.","H8FCS40704","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Greenwich","CT","06830-6525","Fairfield","CT04","2022","$65,500"
"Family Christian Health Center","H8GCS48314","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Harvey","IL","60426-3556","Cook","IL-02","2023","$27,500"
"Family Christian Health Center","H8FCS41470","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Harvey","IL","60426-3556","Cook","IL02","2022","$65,500"
"Family Christian Health Center","H8DCS36107","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Harvey","IL","60426-3556","Cook","IL-02","2020","$834,950"
"Family Christian Health Center","H8GCS48314","FY 2023 Expanding COVID-19 Vaccination (H8G)","Harvey","IL","60426-3556","Cook","IL02","2023","$246,631"
"Family Christian Health Center","H8ECS38510","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Harvey","IL","60426-3556","Cook","IL-02","2020","$373,399"
"Family Christian Health Center","H8FCS41470","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Harvey","IL","60426-3556","Cook","IL-02","2021","$3,225,500"
"Family Christian Health Center","H8LCS50568","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Harvey","IL","60426-3556","Cook","IL-02","2023","$44,446"
"Family Christian Health Center","H8CCS35025","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Harvey","IL","60426-3556","Cook","IL-02","2020","$63,365"
"Family Christian Health Center","C8ECS44469","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Harvey","IL","60426-3556","Cook","IL-02","2021","$701,718"
"Family First Health Corporation","H8GCS48322","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","York","PA","17401-1474","York","PA-10","2023","$27,500"
"Family First Health Corporation","C8ECS44809","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","York","PA","17401-1474","York","PA-10","2021","$782,975"
"Family First Health Corporation","H8CCS35214","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","York","PA","17401-1474","York","PA-10","2020","$71,113"
"Family First Health Corporation","H8DCS36614","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","York","PA","17401-1474","York","PA-10","2020","$979,100"
"Family First Health Corporation","H8ECS38733","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","York","PA","17401-1474","York","PA-10","2020","$484,204"
"Family First Health Corporation","H8LCS51949","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","York","PA","17401-1474","York","PA-10","2023","$44,008"
"Family First Health Corporation","H8FCS40794","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","York","PA","17401-1474","York","PA-10","2021","$4,423,625"
"FAMILY FIRST HEALTH CORPORATION","H8GCS48322","FY 2023 Expanding COVID-19 Vaccination (H8G)","YORK","PA","17401-1474","York","PA10","2023","$278,905"
"FAMILY FIRST HEALTH CORPORATION","H8FCS40794","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","York","PA","17401-1474","York","PA10","2022","$65,500"
"Family Health Care Centers Of Greater Los Angeles Inc","H8LCS51250","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Bell Gardens","CA","90201-1805","Los Angeles","CA-42","2023","$98,637"
"Family Health Care Centers Of Greater Los Angeles Inc","H8GCS48220","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Bell Gardens","CA","90201-1805","Los Angeles","CA-42","2023","$27,500"
"Family Health Care Centers Of Greater Los Angeles, Inc.","H8FCS41106","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Bell","CA","90201-1805","Los Angeles","CA-40","2021","$4,388,375"
"Family Health Care Centers Of Greater Los Angeles, Inc.","H8DCS35709","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bell","CA","90201-1805","Los Angeles","CA-40","2020","$920,705"
"Family Health Care Centers Of Greater Los Angeles, Inc.","H8CCS34068","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Bell","CA","90201-1805","Los Angeles","CA-40","2020","$75,197"
"Family Health Care Centers Of Greater Los Angeles, Inc.","H8ECS37891","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Bell","CA","90201-1805","Los Angeles","CA-40","2020","$319,354"
"Family Health Care Centers Of Greater Los Angeles, Inc.","C8ECS44285","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Bell","CA","90201-1805","Los Angeles","CA-40","2021","$662,085"
"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.","H8GCS48220","FY 2023 Expanding COVID-19 Vaccination (H8G)","BELL","CA","90201-1805","Los Angeles","CA40","2023","$174,604"
"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.","H8FCS41106","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Bell","CA","90201-1805","Los Angeles","CA40","2022","$65,500"
"Family Health Care Clinic, Inc.","C8ECS43672","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Pearl","MS","39208-4226","Rankin","MS-03","2021","$1,048,020"
